location,month,temperature,relative_humidity,pressure,wind_speed,rainfall
Bengaluru,1,21.84,57.0,1011.2,3.01,0.19
Bengaluru,1,21.27,56.5,1015.3,3.07,0.01
Bengaluru,1,20.9,65.1,1017.6,1.52,0.01
Bengaluru,1,18.54,62.1,1007.8,1.72,0.05
Bengaluru,1,20.06,55.8,1012.0,3.85,0.1
Bengaluru,1,20.58,65.4,1015.4,2.76,0.34
Bengaluru,1,23.61,61.8,1013.5,3.48,0.22
Bengaluru,1,22.19,64.9,1014.9,2.83,0.23
Bengaluru,1,17.97,63.8,1012.5,2.83,0.09
Bengaluru,1,22.15,55.0,1014.2,3.74,0.07
Bengaluru,1,20.73,56.6,1013.6,2.28,0.08
Bengaluru,1,20.15,64.5,1016.9,2.9,0.73
Bengaluru,1,22.72,63.7,1014.6,2.34,0.01
Bengaluru,1,23.56,59.9,1014.8,2.37,0.34
Bengaluru,1,23.36,60.7,1013.0,2.49,0.14
Bengaluru,1,19.82,67.7,1012.8,3.02,0.1
Bengaluru,1,20.88,56.5,1012.9,2.32,0.22
Bengaluru,1,22.16,63.3,1015.0,4.06,0.11
Bengaluru,1,23.45,58.8,1012.9,1.91,0.34
Bengaluru,1,20.54,58.7,1014.7,2.61,0.38
Bengaluru,1,21.13,66.6,1019.2,2.36,0.09
Bengaluru,1,19.29,65.0,1016.2,4.25,0.05
Bengaluru,1,19.11,64.9,1013.2,3.0,0.15
Bengaluru,1,23.13,67.8,1017.0,3.83,0.41
Bengaluru,1,24.21,60.1,1013.0,1.31,0.04
Bengaluru,1,21.36,64.1,1008.9,3.07,0.16
Bengaluru,1,23.51,58.1,1011.5,3.69,0.17
Bengaluru,1,22.22,61.9,1009.3,2.88,0.22
Bengaluru,1,20.21,59.2,1013.1,3.87,0.02
Bengaluru,1,22.22,60.6,1014.0,2.28,0.21
Bengaluru,1,24.58,63.6,1018.2,4.21,0.4
Bengaluru,1,21.43,55.1,1014.8,5.1,0.03
Bengaluru,1,24.63,72.6,1013.5,2.44,0.05
Bengaluru,1,16.26,54.0,1016.1,2.35,0.59
Bengaluru,1,23.14,52.7,1008.5,4.25,0.03
Bengaluru,1,21.67,66.9,1014.6,4.38,0.32
Bengaluru,1,20.9,64.7,1015.9,2.28,0.11
Bengaluru,1,21.68,63.7,1010.3,2.38,0.05
Bengaluru,1,17.52,63.8,1016.9,2.52,0.34
Bengaluru,1,21.06,59.9,1014.8,1.46,0.1
Bengaluru,1,22.21,54.6,1013.0,1.88,0.12
Bengaluru,1,24.46,60.5,1015.6,1.8,0.07
Bengaluru,1,20.46,55.9,1019.7,2.03,0.15
Bengaluru,1,19.88,65.9,1014.5,2.77,0.03
Bengaluru,1,20.5,59.1,1014.6,3.03,0.08
Bengaluru,1,23.33,55.0,1012.9,4.35,0.58
Bengaluru,1,22.16,58.1,1011.9,1.8,0.05
Bengaluru,1,20.44,62.5,1016.1,3.78,0.18
Bengaluru,1,22.53,56.6,1011.9,2.59,0.07
Bengaluru,1,21.69,55.1,1014.2,2.75,0.25
Bengaluru,1,23.44,61.5,1012.8,3.47,0.02
Bengaluru,1,20.1,61.5,1015.2,1.68,0.58
Bengaluru,1,20.84,57.0,1014.8,3.18,0.1
Bengaluru,1,20.72,57.2,1016.6,2.97,0.04
Bengaluru,1,18.57,61.4,1012.7,3.29,0.01
Bengaluru,1,22.09,51.3,1013.3,3.09,0.03
Bengaluru,1,22.02,51.6,1011.6,5.26,0.12
Bengaluru,1,21.51,55.7,1012.9,2.16,0.07
Bengaluru,1,21.03,58.7,1014.9,2.27,0.29
Bengaluru,1,18.67,61.9,1015.9,2.18,0.09
Bengaluru,1,20.66,68.9,1011.7,2.24,0.05
Bengaluru,1,20.81,65.1,1016.2,2.16,0.16
Bengaluru,1,19.9,59.0,1017.4,3.99,0.2
Bengaluru,1,21.18,59.9,1015.0,4.22,0.03
Bengaluru,1,22.31,54.0,1018.7,2.23,0.03
Bengaluru,1,25.27,59.9,1012.1,1.97,0.01
Bengaluru,1,21.85,58.3,1010.9,3.27,0.22
Bengaluru,1,22.02,61.9,1009.6,2.25,0.18
Bengaluru,1,21.35,55.0,1017.7,3.43,0.11
Bengaluru,1,17.66,63.1,1015.6,3.0,0.31
Bengaluru,1,21.45,69.2,1013.9,1.28,0.27
Bengaluru,1,21.62,59.3,1014.7,4.35,0.15
Bengaluru,1,26.43,62.4,1011.2,4.6,0.34
Bengaluru,1,21.12,64.1,1020.1,2.19,0.04
Bengaluru,1,22.1,57.6,1014.3,2.41,0.02
Bengaluru,1,21.43,61.3,1014.3,3.09,0.05
Bengaluru,1,19.16,60.1,1015.8,3.13,0.01
Bengaluru,1,23.79,60.6,1015.2,3.46,0.13
Bengaluru,1,23.0,55.4,1014.6,4.81,0.46
Bengaluru,1,23.08,60.1,1012.0,2.62,0.01
Bengaluru,1,19.68,63.0,1015.2,2.0,0.02
Bengaluru,1,24.31,68.7,1018.7,1.42,0.1
Bengaluru,1,18.7,65.8,1017.4,2.07,0.45
Bengaluru,1,22.67,72.9,1018.0,2.77,0.06
Bengaluru,1,25.88,55.4,1012.7,4.59,0.12
Bengaluru,1,19.52,65.2,1011.5,2.28,0.01
Bengaluru,1,20.37,61.1,1013.7,3.02,0.03
Bengaluru,1,21.7,73.1,1014.1,2.78,0.72
Bengaluru,1,20.49,55.2,1016.7,3.99,0.56
Bengaluru,1,18.4,55.0,1009.8,5.33,0.0
Bengaluru,1,21.64,56.4,1017.8,2.27,0.51
Bengaluru,1,19.38,47.3,1013.6,2.31,0.17
Bengaluru,1,22.45,56.8,1012.9,3.84,0.34
Bengaluru,1,19.66,55.4,1011.5,3.48,0.1
Bengaluru,1,24.6,60.9,1009.9,4.65,0.12
Bengaluru,1,19.93,62.1,1016.1,3.38,0.11
Bengaluru,1,20.86,71.3,1014.2,2.44,0.18
Bengaluru,1,23.13,65.7,1010.8,3.39,0.03
Bengaluru,1,19.04,56.5,1010.8,3.91,0.01
Bengaluru,1,21.95,54.6,1013.2,3.62,0.06
Bengaluru,1,24.11,63.0,1018.2,3.31,0.2
Bengaluru,1,18.29,52.1,1013.4,3.87,0.04
Bengaluru,1,21.87,71.0,1010.2,3.97,0.19
Bengaluru,1,22.02,67.1,1013.4,4.18,0.58
Bengaluru,1,23.06,57.2,1013.3,3.45,0.02
Bengaluru,1,19.03,49.7,1007.3,2.63,0.19
Bengaluru,1,18.86,68.1,1013.9,2.95,0.1
Bengaluru,1,22.54,59.3,1013.4,4.01,0.34
Bengaluru,1,22.09,67.4,1015.7,1.98,0.03
Bengaluru,1,22.0,50.4,1018.6,3.17,0.2
Bengaluru,1,22.19,56.4,1016.8,2.41,0.3
Bengaluru,1,20.14,60.0,1013.3,2.83,0.48
Bengaluru,1,21.96,60.3,1011.2,4.08,0.19
Bengaluru,1,22.09,57.3,1020.4,2.99,0.11
Bengaluru,1,20.07,63.7,1014.1,2.85,0.16
Bengaluru,1,25.23,53.6,1014.0,1.44,0.34
Bengaluru,1,22.45,59.1,1013.9,3.55,0.14
Bengaluru,1,19.12,60.7,1014.5,3.45,0.01
Bengaluru,1,22.81,63.1,1013.6,4.96,0.45
Bengaluru,1,19.55,64.3,1012.6,2.49,0.19
Bengaluru,1,23.07,53.3,1012.6,3.02,0.19
Bengaluru,1,23.82,50.8,1013.9,3.05,0.04
Bengaluru,1,19.86,67.7,1012.6,4.38,0.18
Bengaluru,1,23.43,62.0,1012.2,2.7,0.08
Bengaluru,1,22.33,55.5,1014.3,3.08,0.18
Bengaluru,1,23.14,69.3,1013.4,3.41,0.02
Bengaluru,1,25.29,60.7,1017.8,2.99,0.18
Bengaluru,1,21.01,67.1,1007.4,2.35,1.24
Bengaluru,1,19.99,60.4,1016.7,2.99,0.01
Bengaluru,1,19.72,72.4,1017.1,3.87,0.63
Bengaluru,1,19.87,70.5,1008.8,1.77,0.09
Bengaluru,1,21.35,58.5,1013.1,2.93,0.34
Bengaluru,1,22.18,65.8,1013.1,2.1,0.25
Bengaluru,1,22.05,63.9,1010.5,4.0,0.14
Bengaluru,1,23.15,68.2,1012.1,1.28,0.22
Bengaluru,1,21.53,54.2,1011.2,2.24,0.35
Bengaluru,1,24.41,64.1,1018.4,3.18,0.09
Bengaluru,1,20.97,66.4,1016.3,4.37,0.07
Bengaluru,1,26.94,49.4,1017.2,2.73,0.18
Bengaluru,1,22.75,52.9,1015.8,2.24,0.27
Bengaluru,1,19.79,47.8,1011.2,4.68,0.24
Bengaluru,1,19.36,58.4,1012.7,1.35,0.27
Bengaluru,1,22.46,64.3,1015.2,0.6,0.1
Bengaluru,1,21.05,69.0,1010.9,3.24,0.28
Bengaluru,1,22.93,60.4,1015.8,2.3,0.02
Bengaluru,1,22.45,69.8,1013.4,1.78,0.13
Bengaluru,1,21.35,51.7,1013.1,3.51,0.0
Bengaluru,1,19.81,49.8,1015.8,3.04,0.07
Bengaluru,1,18.47,59.7,1015.1,2.24,0.08
Bengaluru,1,20.61,62.3,1013.1,1.52,0.08
Bengaluru,1,23.21,59.8,1016.9,3.67,0.2
Bengaluru,1,21.93,47.6,1011.3,3.45,0.08
Bengaluru,1,19.01,59.5,1015.5,2.7,0.1
Bengaluru,1,21.85,52.2,1015.5,4.65,0.05
Bengaluru,1,22.27,64.0,1013.2,1.73,0.08
Bengaluru,1,19.73,62.2,1014.8,1.27,0.04
Bengaluru,1,21.81,54.4,1010.9,2.11,0.01
Bengaluru,1,21.62,56.9,1016.3,2.75,0.15
Bengaluru,1,19.21,53.6,1013.5,3.04,0.18
Bengaluru,1,22.22,59.6,1012.7,2.56,0.16
Bengaluru,1,22.62,65.7,1016.6,3.15,0.1
Bengaluru,1,23.67,54.1,1012.2,1.55,0.08
Bengaluru,1,23.61,63.0,1010.5,4.24,0.33
Bengaluru,1,18.74,56.8,1010.1,2.72,0.12
Bengaluru,1,19.62,55.2,1015.5,3.92,0.11
Bengaluru,1,22.53,59.4,1010.8,3.14,0.0
Bengaluru,1,22.53,53.8,1018.4,3.26,0.07
Bengaluru,1,22.53,56.7,1008.8,3.37,0.08
Bengaluru,1,29.21,52.8,1018.2,3.25,0.08
Bengaluru,1,22.64,71.8,1014.5,3.44,0.14
Bengaluru,1,23.77,60.2,1013.8,4.13,0.13
Bengaluru,1,23.41,55.8,1012.6,3.0,0.16
Bengaluru,1,22.8,61.3,1015.0,3.51,0.24
Bengaluru,1,20.87,59.3,1013.9,2.71,0.28
Bengaluru,1,23.02,58.7,1016.8,4.24,0.21
Bengaluru,1,19.95,63.7,1014.3,2.12,0.52
Bengaluru,1,21.03,64.5,1014.4,4.6,0.0
Bengaluru,1,20.53,56.8,1013.1,2.76,0.04
Bengaluru,1,21.66,56.5,1013.9,1.37,0.0
Bengaluru,1,26.13,58.3,1014.8,2.93,0.17
Bengaluru,1,17.77,46.2,1009.7,2.12,0.38
Bengaluru,1,22.87,50.9,1010.6,3.64,0.05
Bengaluru,1,18.27,68.2,1015.9,2.15,0.44
Bengaluru,1,20.56,69.9,1014.4,2.35,0.01
Bengaluru,1,23.68,58.5,1013.5,0.91,0.45
Bengaluru,1,21.63,63.5,1014.0,2.35,0.07
Bengaluru,1,19.34,61.9,1014.9,0.38,0.02
Bengaluru,1,20.07,78.5,1012.7,1.22,0.11
Bengaluru,1,22.86,66.7,1012.1,3.56,0.05
Bengaluru,1,20.04,59.2,1014.5,3.59,0.06
Bengaluru,1,21.93,54.3,1011.6,3.23,0.06
Bengaluru,1,21.59,50.4,1015.0,1.83,0.27
Bengaluru,1,20.2,61.2,1009.7,2.75,0.13
Bengaluru,1,25.79,55.5,1016.6,2.8,0.06
Bengaluru,1,22.77,51.5,1015.2,1.64,0.16
Bengaluru,1,17.45,56.1,1014.6,4.3,0.21
Bengaluru,1,21.87,53.5,1016.5,3.68,0.05
Bengaluru,1,20.18,70.1,1018.2,2.58,0.09
Bengaluru,1,23.2,65.3,1016.5,2.83,0.02
Bengaluru,1,19.91,60.0,1009.4,3.01,0.03
Bengaluru,1,21.27,68.9,1010.8,0.76,0.19
Bengaluru,1,22.51,60.5,1012.4,2.55,0.03
Bengaluru,1,23.23,54.8,1014.1,2.12,0.12
Bengaluru,1,19.1,69.1,1015.3,1.8,0.21
Bengaluru,1,20.83,63.2,1012.2,2.52,0.02
Bengaluru,1,20.55,53.8,1014.5,4.6,0.14
Bengaluru,1,20.19,58.9,1012.1,3.44,0.05
Bengaluru,1,25.03,54.7,1012.5,2.23,0.55
Bengaluru,1,22.31,51.7,1010.5,3.37,0.11
Bengaluru,2,24.45,59.4,1014.3,4.13,0.38
Bengaluru,2,26.73,52.1,1013.4,2.95,0.05
Bengaluru,2,24.25,53.9,1013.9,1.23,0.17
Bengaluru,2,23.14,62.2,1014.2,4.26,0.34
Bengaluru,2,24.24,53.4,1014.6,2.09,0.08
Bengaluru,2,25.09,67.6,1015.8,2.35,0.27
Bengaluru,2,24.1,55.4,1014.0,2.4,0.29
Bengaluru,2,24.08,41.4,1012.4,4.37,0.05
Bengaluru,2,22.6,56.5,1014.7,0.86,0.22
Bengaluru,2,22.67,54.3,1017.7,6.14,0.39
Bengaluru,2,21.19,59.7,1012.7,4.06,0.18
Bengaluru,2,27.5,56.0,1010.6,3.22,0.0
Bengaluru,2,21.51,51.2,1015.8,2.95,0.0
Bengaluru,2,22.61,44.7,1012.7,3.29,0.12
Bengaluru,2,22.56,50.7,1007.6,3.52,0.7
Bengaluru,2,25.79,46.9,1015.1,3.65,0.07
Bengaluru,2,23.41,48.5,1011.7,3.56,0.27
Bengaluru,2,26.5,55.5,1012.8,3.09,0.07
Bengaluru,2,22.65,62.0,1013.8,2.8,0.1
Bengaluru,2,24.56,54.4,1013.5,2.85,0.5
Bengaluru,2,22.33,44.8,1014.8,2.81,0.35
Bengaluru,2,28.29,54.7,1011.9,4.13,0.03
Bengaluru,2,21.62,59.2,1014.3,3.59,0.15
Bengaluru,2,24.62,48.3,1012.4,0.1,0.01
Bengaluru,2,25.27,51.2,1014.8,3.66,0.17
Bengaluru,2,24.83,52.1,1014.5,3.19,0.29
Bengaluru,2,23.63,47.3,1010.7,2.98,0.03
Bengaluru,2,23.74,55.9,1015.7,2.61,0.09
Bengaluru,2,24.09,51.3,1011.7,4.12,0.14
Bengaluru,2,23.71,54.5,1015.0,3.95,0.67
Bengaluru,2,25.93,46.7,1013.9,2.23,1.33
Bengaluru,2,28.42,49.4,1017.6,3.41,0.01
Bengaluru,2,22.89,56.3,1012.4,2.03,0.38
Bengaluru,2,21.26,49.8,1012.1,1.62,0.12
Bengaluru,2,23.82,62.4,1013.0,2.37,0.13
Bengaluru,2,29.16,49.6,1012.2,3.86,0.37
Bengaluru,2,22.39,53.3,1015.0,3.95,0.67
Bengaluru,2,27.28,57.6,1009.0,3.51,0.8
Bengaluru,2,27.36,43.5,1010.4,3.73,0.23
Bengaluru,2,22.89,41.4,1010.3,3.52,0.12
Bengaluru,2,25.14,42.8,1015.4,2.36,0.41
Bengaluru,2,27.26,59.6,1017.3,3.43,0.08
Bengaluru,2,23.24,48.7,1012.7,3.8,0.22
Bengaluru,2,23.59,67.3,1012.6,3.75,0.12
Bengaluru,2,22.84,48.6,1013.2,4.19,0.29
Bengaluru,2,21.97,53.1,1015.9,3.71,0.07
Bengaluru,2,22.7,61.3,1010.7,3.35,0.06
Bengaluru,2,21.55,64.0,1013.6,4.07,0.67
Bengaluru,2,24.07,64.4,1015.4,2.97,0.03
Bengaluru,2,22.46,59.3,1014.3,2.12,0.19
Bengaluru,2,24.47,58.1,1013.5,2.84,0.07
Bengaluru,2,20.89,55.6,1015.5,2.26,0.01
Bengaluru,2,24.66,56.7,1006.2,2.32,0.01
Bengaluru,2,25.67,48.7,1014.7,2.86,0.05
Bengaluru,2,20.01,47.1,1011.4,2.21,0.54
Bengaluru,2,24.75,52.0,1008.4,2.69,0.09
Bengaluru,2,26.46,51.0,1014.3,1.11,0.8
Bengaluru,2,21.58,49.3,1016.4,3.21,0.23
Bengaluru,2,27.35,56.2,1012.7,3.0,0.15
Bengaluru,2,24.84,57.7,1015.4,2.18,0.23
Bengaluru,2,22.59,52.5,1017.0,3.66,0.19
Bengaluru,2,23.89,60.9,1016.3,3.94,0.38
Bengaluru,2,25.12,45.1,1017.1,1.39,0.09
Bengaluru,2,24.15,50.8,1014.9,2.24,0.12
Bengaluru,2,25.08,47.7,1013.2,2.23,0.6
Bengaluru,2,22.16,40.8,1009.0,2.06,0.78
Bengaluru,2,24.34,51.5,1012.4,3.83,0.59
Bengaluru,2,21.17,51.3,1010.9,2.81,0.15
Bengaluru,2,23.78,61.1,1018.4,2.74,0.4
Bengaluru,2,22.19,55.8,1012.6,1.0,0.17
Bengaluru,2,22.53,45.9,1013.3,3.64,0.18
Bengaluru,2,26.47,63.1,1014.4,1.76,0.06
Bengaluru,2,26.18,59.3,1013.1,3.06,0.24
Bengaluru,2,25.22,55.5,1017.2,3.28,0.05
Bengaluru,2,21.82,50.6,1011.4,4.36,0.11
Bengaluru,2,23.37,46.2,1013.5,1.69,0.51
Bengaluru,2,26.43,49.8,1011.1,0.1,0.06
Bengaluru,2,24.28,58.5,1009.7,3.18,0.02
Bengaluru,2,28.64,63.3,1011.5,4.8,0.02
Bengaluru,2,24.79,61.3,1012.9,4.24,0.75
Bengaluru,2,24.38,49.1,1011.9,3.21,0.19
Bengaluru,2,23.38,45.3,1011.3,2.51,0.14
Bengaluru,2,24.27,52.8,1009.5,3.81,0.44
Bengaluru,2,23.7,41.4,1012.8,2.03,0.48
Bengaluru,2,25.42,53.9,1009.2,3.48,0.11
Bengaluru,2,25.91,51.1,1014.9,3.51,0.32
Bengaluru,2,22.43,49.2,1013.2,4.06,0.39
Bengaluru,2,21.34,42.4,1009.4,5.76,0.28
Bengaluru,2,20.33,55.1,1012.2,3.39,0.04
Bengaluru,2,25.02,48.8,1011.1,2.49,0.56
Bengaluru,2,21.79,45.0,1013.8,2.97,0.21
Bengaluru,2,19.69,34.8,1016.4,1.23,0.09
Bengaluru,2,24.78,51.8,1008.3,2.31,0.15
Bengaluru,2,28.99,62.6,1013.3,2.59,0.01
Bengaluru,2,23.99,62.0,1012.6,2.48,0.04
Bengaluru,2,25.68,49.3,1014.7,3.15,0.39
Bengaluru,2,24.16,48.4,1013.5,2.18,0.0
Bengaluru,2,23.8,54.8,1011.1,4.12,0.14
Bengaluru,2,25.84,46.0,1012.2,3.0,0.2
Bengaluru,2,23.42,53.8,1011.0,2.99,0.01
Bengaluru,2,24.53,56.6,1015.7,2.67,0.96
Bengaluru,2,24.64,59.4,1013.1,3.16,0.07
Bengaluru,2,22.66,51.4,1017.8,3.83,0.1
Bengaluru,2,25.98,50.8,1012.8,2.13,0.1
Bengaluru,2,23.65,46.7,1011.2,2.34,0.07
Bengaluru,2,22.49,47.0,1009.2,2.7,0.0
Bengaluru,2,25.07,50.6,1008.5,1.65,0.35
Bengaluru,2,22.2,54.2,1009.0,2.18,0.91
Bengaluru,2,24.06,57.5,1013.7,2.52,0.07
Bengaluru,2,23.98,47.2,1014.3,3.87,0.29
Bengaluru,2,26.17,61.0,1009.0,3.26,0.36
Bengaluru,2,24.95,50.4,1015.2,3.19,0.5
Bengaluru,2,23.95,51.9,1011.8,3.85,0.15
Bengaluru,2,25.64,47.5,1013.4,2.86,0.1
Bengaluru,2,26.78,37.5,1017.0,3.39,0.1
Bengaluru,2,25.12,57.3,1015.2,2.9,0.33
Bengaluru,2,24.02,56.4,1012.3,3.27,0.45
Bengaluru,2,21.38,50.3,1010.8,2.42,0.05
Bengaluru,2,21.87,52.4,1007.6,0.56,0.12
Bengaluru,2,23.39,55.1,1011.2,2.87,0.62
Bengaluru,2,22.78,42.6,1012.5,4.42,0.44
Bengaluru,2,23.63,48.8,1010.5,3.93,1.12
Bengaluru,2,24.11,56.8,1012.7,3.97,0.37
Bengaluru,2,25.06,44.5,1013.2,4.24,0.13
Bengaluru,2,23.86,53.8,1012.4,3.09,0.24
Bengaluru,2,24.97,43.9,1011.4,3.2,0.29
Bengaluru,2,24.13,54.8,1013.4,2.38,0.02
Bengaluru,2,20.05,51.8,1014.1,2.68,0.21
Bengaluru,2,22.12,42.3,1010.3,3.62,0.33
Bengaluru,2,23.71,59.0,1016.5,4.2,0.05
Bengaluru,2,21.58,47.6,1012.8,2.86,0.4
Bengaluru,2,25.2,47.1,1013.0,2.55,0.23
Bengaluru,2,27.06,53.2,1014.8,3.0,0.81
Bengaluru,2,26.44,58.9,1013.6,3.6,0.01
Bengaluru,2,23.57,45.9,1015.4,1.56,0.08
Bengaluru,2,26.98,52.4,1013.7,0.7,0.25
Bengaluru,2,24.3,54.6,1011.5,2.45,0.09
Bengaluru,2,23.33,56.2,1013.9,1.78,0.33
Bengaluru,2,22.77,53.1,1010.1,2.49,0.38
Bengaluru,2,23.4,49.8,1013.3,2.85,0.03
Bengaluru,2,23.22,47.0,1012.9,2.55,0.19
Bengaluru,2,24.34,52.5,1012.5,4.45,0.19
Bengaluru,2,24.32,45.6,1012.7,3.33,0.12
Bengaluru,2,24.01,34.5,1008.3,3.3,0.72
Bengaluru,2,24.87,54.6,1011.6,3.62,0.47
Bengaluru,2,26.38,57.4,1013.2,1.86,0.32
Bengaluru,2,25.9,37.8,1013.4,4.04,0.33
Bengaluru,2,21.03,45.9,1010.4,2.92,0.17
Bengaluru,2,18.89,55.7,1016.2,3.67,0.68
Bengaluru,2,25.87,64.3,1010.8,1.93,0.32
Bengaluru,2,21.27,52.1,1015.4,1.45,0.35
Bengaluru,2,23.55,47.6,1014.1,3.82,0.53
Bengaluru,2,21.66,50.9,1011.4,3.38,0.09
Bengaluru,2,20.4,60.2,1017.4,2.1,0.44
Bengaluru,2,25.08,48.1,1010.0,2.13,0.06
Bengaluru,2,25.52,47.2,1015.3,4.13,0.11
Bengaluru,2,22.85,49.1,1015.5,1.81,0.11
Bengaluru,2,18.82,46.3,1011.3,4.64,1.02
Bengaluru,2,22.91,52.7,1016.5,2.1,0.52
Bengaluru,2,24.78,61.7,1012.4,3.64,0.32
Bengaluru,2,21.04,53.9,1013.7,2.67,0.35
Bengaluru,2,24.37,50.5,1013.7,3.6,0.22
Bengaluru,2,23.97,50.2,1012.7,2.46,0.78
Bengaluru,2,25.16,42.6,1015.0,2.84,0.18
Bengaluru,2,24.24,57.3,1015.0,3.04,0.13
Bengaluru,2,22.05,51.5,1008.6,2.0,0.05
Bengaluru,2,26.39,50.9,1016.3,3.74,0.41
Bengaluru,2,23.68,71.2,1008.8,2.49,0.35
Bengaluru,2,23.95,53.8,1015.6,2.77,0.13
Bengaluru,2,22.13,47.5,1015.8,2.01,0.01
Bengaluru,2,23.11,49.4,1010.3,0.44,0.49
Bengaluru,2,22.23,58.9,1012.0,2.81,0.0
Bengaluru,2,23.65,52.7,1010.2,5.41,0.32
Bengaluru,2,27.42,43.4,1012.5,3.78,0.94
Bengaluru,2,21.26,57.5,1012.2,2.98,0.15
Bengaluru,2,20.77,48.0,1014.9,2.74,0.07
Bengaluru,2,26.94,63.2,1016.3,3.02,0.33
Bengaluru,2,23.58,58.5,1016.5,3.55,0.45
Bengaluru,2,22.66,49.3,1011.6,1.82,0.21
Bengaluru,2,26.08,59.7,1012.5,4.11,0.91
Bengaluru,2,22.79,52.4,1008.8,3.72,0.01
Bengaluru,2,27.65,57.1,1011.0,3.72,0.19
Bengaluru,2,25.36,54.9,1015.4,3.44,0.34
Bengaluru,2,23.02,46.9,1017.0,3.02,0.53
Bengaluru,2,28.31,48.1,1009.9,3.67,0.05
Bengaluru,2,22.79,58.2,1011.5,3.59,0.43
Bengaluru,2,25.48,50.0,1012.9,2.65,0.21
Bengaluru,2,24.6,49.6,1013.7,2.43,0.13
Bengaluru,2,26.6,46.3,1011.0,3.1,0.04
Bengaluru,2,27.12,54.5,1014.1,4.55,0.53
Bengaluru,2,24.06,64.4,1011.8,1.76,0.05
Bengaluru,2,22.49,45.6,1013.0,1.53,0.1
Bengaluru,2,24.92,52.1,1014.4,3.16,0.09
Bengaluru,2,22.64,60.5,1013.0,3.05,0.55
Bengaluru,2,28.03,51.5,1011.9,3.17,0.3
Bengaluru,2,24.27,54.7,1012.7,3.24,0.42
Bengaluru,2,23.27,45.6,1012.8,2.78,0.08
Bengaluru,2,24.37,54.6,1012.1,4.49,0.26
Bengaluru,2,21.31,50.9,1012.4,1.4,0.23
Bengaluru,2,22.06,57.9,1017.0,2.17,0.48
Bengaluru,2,26.4,59.1,1014.4,2.9,0.63
Bengaluru,2,22.69,67.5,1012.3,1.36,0.0
Bengaluru,2,21.91,55.5,1014.7,2.82,0.3
Bengaluru,2,25.07,54.0,1012.2,4.66,0.01
Bengaluru,2,26.37,53.2,1015.9,3.02,0.21
Bengaluru,2,25.44,49.9,1013.9,3.23,0.09
Bengaluru,2,25.99,54.0,1012.7,1.74,0.1
Bengaluru,2,22.49,50.2,1014.1,2.38,0.12
Bengaluru,2,21.16,53.0,1009.1,2.62,0.26
Bengaluru,2,27.0,59.9,1010.2,2.68,0.11
Bengaluru,2,23.35,46.0,1010.0,4.28,0.35
Bengaluru,2,23.5,58.8,1013.4,3.56,0.14
Bengaluru,2,26.66,59.9,1017.3,1.89,0.02
Bengaluru,2,25.11,51.3,1018.6,3.25,0.41
